Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Oman,OMN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,82934277088.5646,84001727416.2074,83053590626.7187,80246616464.6549,82728063877.9983
Oman,OMN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,7648.17627338968,7646.77232270057,7557.81614454606,7397.80444112437,7665.24724967819
Oman,OMN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,18260.005074704,18256.6531453301,18044.2704535008,17662.242841682,18300.7619953758
Oman,OMN,"Population, total",SP.POP.TOTL,4541854,4601157,4602768,4543399,4520471
Oman,OMN,Population density (people per sq. km of land area),EN.POP.DNST,14.6748109854604,14.8664200323102,14.8716252019386,14.679802907916,14.6057221324717
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,339205534861.1,356128166704.921,320909472770.669,300425609817.981,348516647445.148
Pakistan,PAK,GDP (current LCU),NY.GDP.MKTP.CN,35552819000000,39189810000000,43798401000000,47540409000000,55836225000000
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1567.6406123353,1620.74259148331,1437.1658330724,1322.31478539554,1506.10829305917
Pakistan,PAK,GDP per capita (current LCU),NY.GDP.PCAP.CN,164307.587051102,178353.188984815,196147.421006131,209247.759412183,241295.221166883
Pakistan,PAK,GDP (constant LCU),NY.GDP.MKTP.KN,34175628000000,36278011000000,37184104000000,36710346000000,39101616000000
Pakistan,PAK,GDP (constant 2015 US$),NY.GDP.MKTP.KD,333853050597.697,354390697428.203,363242090361.647,358614068499.253,381973779235.3
Pakistan,PAK,GDP per capita (constant LCU),NY.GDP.PCAP.KN,157942.889778616,165101.564714813,166525.853353043,161579.54484039,168976.915626057
Pakistan,PAK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1542.90407107682,1612.83535268155,1626.74886750576,1578.42963292881,1650.69267380687
Pakistan,PAK,"Population, total",SP.POP.TOTL,216379655,219731479,223293280,227196741,231402117
Pakistan,PAK,Population density (people per sq. km of land area),EN.POP.DNST,280.691748391449,285.039797374429,289.660232461602,294.723875311333,300.179167963885
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,285600000,288546281.25,281970375,257885921.875,232903015.625
Palau,PLW,GDP (current LCU),NY.GDP.MKTP.CN,285600000,288546281.25,281970375,257885921.875,232903015.625
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,16011.6611537815,16152.3892325347,15738.4670127261,14349.3168192188,12921.8273205171
Palau,PLW,GDP per capita (current LCU),NY.GDP.PCAP.CN,16011.6611537815,16152.3892325347,15738.4670127261,14349.3168192188,12921.8273205171
Palau,PLW,GDP (constant LCU),NY.GDP.MKTP.KN,277500000,281412375,281970375,260683015.625,224911859.375
Palau,PLW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,268794071.417766,272583704.589525,273124198.614214,252504681.511009,217855763.57314
Palau,PLW,GDP per capita (constant LCU),NY.GDP.PCAP.KN,15557.5489151763,15753.0438311688,15738.4670127261,14504.9530171934,12478.465344818
Palau,PLW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,15069.4663574461,15258.8280670357,15244.7085629724,14049.8932512246,12086.9820002852
Palau,PLW,"Population, total",SP.POP.TOTL,17837,17864,17916,17972,18024
Palau,PLW,Population density (people per sq. km of land area),EN.POP.DNST,38.7760869565217,38.8347826086957,38.9478260869565,39.0695652173913,39.1826086956522
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,62202700000,67294169200,69721787500,57086836900,67406738100
Panama,PAN,GDP (current LCU),NY.GDP.MKTP.CN,62202700000,67294169200,69721787500,57086836900,67406738100
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,15185.9724813803,16156.0742859681,16472.8317470488,13293.3331951688,15491.2898013383
Panama,PAN,GDP per capita (current LCU),NY.GDP.PCAP.CN,15185.9724813803,16156.0742859681,16472.8317470488,13293.3331951688,15491.2898013383
Panama,PAN,GDP (constant LCU),NY.GDP.MKTP.KN,64902242600,67294169200,69502679700,57222715000,66284369700
